Estudo; Renda;UF;SEXO;Idade;Altura
12;R$ 2.700;SP;M;63;1,89
9;R$ 950;RS;F;55;1,89
6;R$ 1.800;BA;M;38;1,89
6;R$ 1.100;AL;F;66;1,89
11;R$ 900;RJ;F;48;1,89
4;R$ 1.183;PA;M;50;1,89
1;R$ 3.000;MT;M;38;1,89
12;R$ 3.000;BA;M;60;1,89
12;R$ 1.000;PR;F;26;1,89
10;R$ 1.200;BA;M;74;1,89
16;R$ 2.800;SP;M;64;1,89
12;R$ 788;CE;M;31;1,89
12;R$ 788;PE;M;47;1,89
1;R$ 600;RO;M;33;1,89
5;R$ 788;BA;F;38;1,89
16;R$ 2.500;GO;M;29;1,89
12;R$ 830;TO;F;44;1,89
16;R$ 15.648;RJ;F;69;1,89
9;R$ 788;RN;F;46;1,89
16;R$ 3.500;RJ;F;45;1,89
1;R$ 1.000;BA;M;52;1,89
9;R$ 300;RS;F;65;1,89
12;R$ 800;GO;F;37;1,89
12;R$ 2.500;MG;M;33;1,89
12;R$ 1.780;RS;M;45;1,89
3;R$ 788;SC;M;74;1,89
9;R$ 4.200;MG;F;40;1,89
9;R$ 1.800;PR;M;48;1,89
4;R$ 150;PI;M;43;1,89
5;R$ 1.000;PE;F;34;1,89
12;R$ 788;SP;F;39;1,89
12;R$ 828;CE;M;25;1,89
16;R$ 40.000;PE;M;63;1,89
12;R$ 250;SE;F;27;1,89
8;R$ 2.000;MS;F;39;1,89
9;R$ 1.500;RS;M;46;1,89
7;R$ 1.200;ES;M;32;1,89
9;R$ 2.200;MA;M;59;1,89
12;R$ 4.000;SC;M;46;1,89
16;R$ 1.600;SP;F;26;1,89
12;R$ 1.500;PR;M;58;1,89
6;R$ 1.200;DF;M;62;1,89
1;R$ 2.700;RJ;M;57;1,89
12;R$ 860;PB;M;22;1,89
16;R$ 788;PA;F;30;1,89
7;R$ 788;MG;F;60;1,89
6;R$ 90;MA;F;26;1,89
16;R$ 3.000;SP;M;29;1,89
12;R$ 788;MG;M;65;1,89
12;R$ 900;ES;F;57;1,89
16;R$ 10.000;DF;M;48;1,89
5;R$ 788;RS;M;59;1,89
9;R$ 700;AC;F;25;1,89
12;R$ 1.100;AP;F;42;1,89
12;R$ 1.300;MS;M;38;1,89
17;R$ 50;MA;M;51;1,89
16;R$ 8.000;MG;M;42;1,89
11;R$ 1.100;RJ;F;45;1,89
12;R$ 2.100;SC;M;53;1,89
15;R$ 788;SP;F;30;1,89
2;R$ 1.500;AP;M;40;1,89
12;R$ 10.000;RJ;M;59;1,89
12;R$ 1.350;MG;M;36;1,89
16;R$ 2.300;PE;F;22;1,89
5;R$ 150;CE;F;42;1,89
12;R$ 850;PA;M;37;1,89
16;R$ 2.000;AC;F;42;1,89
5;R$ 700;PE;M;56;1,89
12;R$ 1.100;RS;M;44;1,89
3;R$ 750;PA;M;56;1,89
5;R$ 1.050;RJ;M;51;1,89
9;R$ 788;SP;M;32;1,89
12;R$ 2.000;PA;M;40;1,89
9;R$ 10.000;AP;M;36;1,89
10;R$ 1.900;SP;M;45;1,89
12;R$ 2.000;PR;F;25;1,89
14;R$ 2.000;CE;F;57;1,89
9;R$ 1.000;BA;M;64;1,89
9;R$ 1.800;MG;M;53;1,89
17;R$ 878;MS;M;22;1,89
12;R$ 200;MG;M;31;1,89
12;R$ 1.200;DF;F;65;1,89
13;R$ 2.890;PR;M;65;1,89
5;R$ 100;PA;M;42;1,89
3;R$ 1.000;SC;M;64;1,89
12;R$ 800;PR;F;52;1,89
9;R$ 380;RO;F;55;1,89
6;R$ 800;TO;M;21;1,89
4;R$ 1.200;MG;M;51;1,89
13;R$ 1.600;PR;F;44;1,89
12;R$ 20.000;AC;M;55;1,89
7;R$ 800;PA;M;38;1,89
16;R$ 900;AP;F;39;1,89
6;R$ 788;MG;F;41;1,89
9;R$ 250;RR;F;27;1,89
8;R$ 2.000;RS;M;53;1,89
9;R$ 1.600;MS;M;47;1,89
8;R$ 3.000;GO;M;42;1,89
10;R$ 600;SP;M;31;1,89
5;R$ 1.400;RJ;M;41;1,89
16;R$ 2.200;PR;F;41;1,89
16;R$ 8.000;SP;M;36;1,89
12;R$ 1.700;MT;F;39;1,89
1;R$ 880;PE;M;38;1,89
4;R$ 350;CE;M;50;1,89
9;R$ 1.000;RJ;M;31;1,89
16;R$ 1.300;AP;F;63;1,89
5;R$ 1.500;SC;M;41;1,89
14;R$ 1.700;AP;M;23;1,89
5;R$ 1.800;PR;M;34;1,89
14;R$ 8.000;RS;M;36;1,89
16;R$ 1.500;ES;F;34;1,89
16;R$ 4.000;RS;M;53;1,89
7;R$ 2.000;RO;M;62;1,89
12;R$ 3.000;PR;M;36;1,89
1;R$ 300;RJ;F;62;1,89
14;R$ 2.000;RO;M;33;1,89
12;R$ 788;RJ;F;36;1,89
12;R$ 788;SP;F;53;1,89
15;R$ 3.000;PE;M;50;1,89
12;R$ 600;MG;M;75;1,89
15;R$ 12.000;DF;M;36;1,89
2;R$ 480;BA;M;58;1,88
16;R$ 300;RS;F;73;1,88
5;R$ 2.400;MT;M;47;1,88
16;R$ 1.400;MG;M;60;1,88
12;R$ 600;AP;M;30;1,88
2;R$ 125;PI;M;51;1,88
12;R$ 1.500;MT;M;30;1,88
7;R$ 600;RJ;M;59;1,88
12;R$ 1.200;MG;M;40;1,88
6;R$ 1.200;RS;M;21;1,88
12;R$ 3.200;PE;M;50;1,88
12;R$ 1.200;PA;M;59;1,88
8;R$ 700;SP;M;55;1,88
6;R$ 1.576;GO;M;57;1,88
5;R$ 600;MG;F;70;1,88
5;R$ 400;SP;F;34;1,88
1;R$ 788;CE;M;62;1,88
13;R$ 1.500;RS;M;39;1,88
14;R$ 2.364;SP;M;46;1,88
1;R$ 1.600;SC;M;63;1,88
12;R$ 1.200;PA;M;47;1,88
12;R$ 1.500;RJ;M;48;1,88
9;R$ 1.400;PI;M;34;1,88
9;R$ 700;PA;F;57;1,88
5;R$ 1.576;PA;M;52;1,88
1;R$ 1.600;PE;M;50;1,88
9;R$ 600;PA;F;37;1,88
9;R$ 1.500;MG;M;38;1,88
12;R$ 850;AP;M;28;1,88
15;R$ 2.100;RS;M;29;1,88
1;R$ 788;SC;M;49;1,88
12;R$ 1.200;MT;F;32;1,88
7;R$ 2.500;MG;F;50;1,88
4;R$ 200;ES;F;51;1,88
9;R$ 788;PE;M;42;1,88
16;R$ 7.000;MG;M;44;1,88
14;R$ 5.000;PB;M;53;1,88
9;R$ 788;MG;F;20;1,88
12;R$ 2.000;PA;M;53;1,88
12;R$ 2.000;GO;M;30;1,88
4;R$ 2.000;RO;M;40;1,88
7;R$ 360;BA;M;28;1,88
