Stasiun,Tanggal,Tn,Tx,Tavg,RR,Hari_hujan,Besok_hujan
Stasiun Meteorologi Cilacap,02-03-2010,26.2,32.8,29.5,11.3,0,0
Stasiun Meteorologi Nangapinoh,15-02-2009,22.4,29.7,25.6,11.3,1,1
Stasiun Klimatologi Bogor,12-01-2009,21.4,27.2,23.3,11.2,0,0
 Stasiun Klimatologi Bogor,30-03-2009,20.6,31,25,11.2,1,1
Stasiun Meteorologi Maritim Tanjung Mas,01-03-2009,25.2,29.6,27.6,11.2,0,0
Stasiun Klimatologi Bogor,30-03-2009,20.6,31,25,11.2,1,1
Stasiun Klimatologi Bogor,08-02-2009,22.3,27.4,24.3,11,0,0
Stasiun Klimatologi Bogor,24-01-2010,22.4,31.3,25.5,11,1,1
Stasiun Klimatologi Bogor,31-01-2010,23.8,29,25.5,11,0,0
 Stasiun Meteorologi Nangapinoh,16-02-2010,23.6,31.4,26,11,1,1
Stasiun Klimatologi Bogor,19-01-2009,22.8,27.7,25,10.7,0,0
Stasiun Klimatologi Bogor,22-01-2009,22,30.2,26,10.7,1,1
Stasiun Klimatologi Bogor,29-01-2009,23,30.4,25.7,10.7,1,1
Stasiun Klimatologi Bogor,13-02-2009,21.4,30,25.7,10.7,1,1
Stasiun Meteorologi Cilacap,04-02-2009,23.6,30.1,26,10.7,1,1
Stasiun Meteorologi Cilacap,05-02-2009,23.8,31,26.3,10.7,1,1
Stasiun Meteorologi Cilacap,06-02-2009,23.9,31.4,27.3,10.7,1,1
Stasiun Meteorologi Nangapinoh,13-01-2009,23.2,31.2,26.8,10.7,1,1
Stasiun Meteorologi Nangapinoh,09-02-2009,23,32.5,27.3,10.7,1,1
Stasiun Klimatologi Mempawah,15-01-2009,24,29.8,26.1,10.7,0,0
Stasiun Klimatologi Mempawah,17-01-2009,24.2,30,26,10.7,1,1
Stasiun Klimatologi Mempawah,25-01-2009,24.3,29.9,25.7,10.7,0,0
Stasiun Klimatologi Mempawah,01-02-2009,23.3,31,25.6,10.7,1,1
Stasiun Klimatologi Mempawah,05-02-2009,22.7,30.5,25.8,10.7,1,1
Stasiun Klimatologi Mempawah,15-01-2010,23.2,30.4,26.5,10.7,1,1
Stasiun Klimatologi Mempawah,23-01-2010,23.6,31.9,26.6,10.7,1,1
Stasiun Klimatologi Mempawah,24-01-2010,23.9,31.7,27.5,10.7,1,1
Stasiun Klimatologi Mempawah,28-01-2010,23.5,34.2,27.5,10.7,1,1
Stasiun Klimatologi Mempawah,12-02-2010,25.5,30.8,27.1,10.7,0,0
Stasiun Meteorologi Nangapinoh,22-01-2010,22.3,33.6,25.2,10.7,1,1
Stasiun Meteorologi Nangapinoh,26-01-2010,22.7,33.3,27.5,10.7,1,1
Stasiun Meteorologi Nangapinoh,03-02-2010,22.8,32,26.5,10.7,1,1
Stasiun Meteorologi Nangapinoh,08-02-2010,22,33.8,27.7,10.7,1,1
Stasiun Klimatologi Mempawah,01-02-2009,23.3,31,25.6,10.7,1,1
Stasiun Klimatologi Mempawah,05-02-2009,22.7,30.5,25.8,10.7,1,1
Stasiun Meteorologi Cilacap,26-01-2010,24.4,32.8,27.8,10.7,1,1
Stasiun Meteorologi Cilacap,08-02-2010,25.2,32.5,27.4,10.7,0,0
Stasiun Meteorologi Cilacap,11-02-2010,24,32.6,29.3,10.7,1,1
Stasiun Klimatologi Bogor,01-02-2010,24.4,31.8,25.6,10.7,1,1
Stasiun Klimatologi Bogor,12-02-2010,23.8,32.6,26.7,10.7,1,1
Stasiun Meteorologi Cilacap,17-02-2010,25.5,32.2,27.9,10.7,0,0
Stasiun Meteorologi Cilacap,18-02-2010,25.6,32.2,28,10.7,0,0
Stasiun Meteorologi Cilacap,20-02-2010,24,30.8,26.9,10.7,1,1
Stasiun Meteorologi Cilacap,27-02-2010,25.6,33.2,28.9,10.7,0,0
Stasiun Meteorologi Cilacap,04-03-2010,26.2,32.7,29.1,10.7,0,0
Stasiun Meteorologi Cilacap,07-03-2010,26,33.6,29.1,10.7,0,0
Stasiun Klimatologi Mempawah,16-02-2010,25.1,30.6,27.1,10.7,0,0
Stasiun Klimatologi Mempawah,23-02-2010,24.2,33,27.9,10.7,1,1
Stasiun Klimatologi Mempawah,28-02-2010,26.3,31.8,28.7,10.7,0,0
Stasiun Klimatologi Bogor,14-02-2009,21.6,31.5,26.5,10.7,1,1
Stasiun Klimatologi Bogor,19-02-2009,23.2,31.8,25.8,10.7,1,1
Stasiun Klimatologi Bogor,25-02-2009,22.3,30.8,26.6,10.7,1,1
 Stasiun Klimatologi Bogor,14-03-2009,22.6,31.3,25.1,10.7,1,1
 Stasiun Klimatologi Bogor,31-03-2009,20.5,32.6,26.2,10.7,1,1
Stasiun Klimatologi Bogor,02-01-2010,24,32.8,26.5,10.7,1,1
Stasiun Meteorologi Cilacap,22-02-2009,24.6,31.4,27.4,10.7,0,0
